dataset,aggregation,relation,relation_name,test_triple_count,stage1_mrr,test_mrr,absolute_gain,relative_gain_pct,selected_stage
FB15k-237,structural_r2d3,103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,121,0.38822,0.41297,0.02475,6.37418,dependency
FB15k-237,structural_r2d3,124,/education/educational_institution/school_type,80,0.35497,0.37782,0.02286,6.43867,dependency
FB15k-237,structural_r2d3,147,/film/film/distributors./film/film_film_distributor_relationship/region,10,0.56188,0.64524,0.08336,14.83604,dependency
FB15k-237,structural_r2d3,151,/people/ethnicity/geographic_distribution,17,0.39080,0.41620,0.02540,6.50043,dependency
FB15k-237,structural_r2d3,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,17,0.27311,0.29432,0.02121,7.76758,dependency
FB15k-237,structural_r2d3,16,/organization/organization/headquarters./location/mailing_address/country,7,0.44989,0.48517,0.03528,7.84114,dependency
FB15k-237,structural_r2d3,188,/education/field_of_study/students_majoring./education/education/major_field_of_study,11,0.23174,0.25461,0.02286,9.86621,dependency
FB15k-237,structural_r2d3,19,/award/award_nominee/award_nominations./award/award_nomination/award,1067,0.20171,0.21140,0.00968,4.79935,dependency
FB15k-237,structural_r2d3,191,/film/film/film_festivals,18,0.19895,0.20503,0.00607,3.05227,dependency
FB15k-237,structural_r2d3,222,/location/location/partially_contains,13,0.32825,0.37945,0.05120,15.59923,dependency
FB15k-237,structural_r2d3,230,/film/film/prequel,18,0.35143,0.36486,0.01344,3.82374,dependency
FB15k-237,structural_r2d3,235,/music/instrument/family,6,0.20323,0.22415,0.02092,10.29594,dependency
FB15k-237,structural_r2d3,3,/award/award_winner/awards_won./award/award_honor/award_winner,41,0.23443,0.37227,0.13785,58.80201,dependency
FB15k-237,structural_r2d3,30,/award/award_winning_work/awards_won./award/award_honor/award,118,0.17857,0.19592,0.01735,9.71435,dependency
FB15k-237,structural_r2d3,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,32,0.05478,0.06308,0.00830,15.14381,dependency
FB15k-237,structural_r2d3,51,/tv/tv_program/languages,24,0.62909,0.70700,0.07791,12.38491,dependency
FB15k-237,structural_r2d3,58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,55,0.39997,0.42504,0.02507,6.26918,dependency
FB15k-237,structural_r2d3,62,/base/aareas/schema/administrative_area/administrative_parent,25,0.52190,0.57894,0.05704,10.92892,dependency
FB15k-237,structural_r2d3,65,/olympics/olympic_games/sports,13,0.28666,0.46603,0.17937,62.57054,dependency
FB15k-237,structural_r2d3,80,/sports/sports_team/sport,53,0.69822,0.73107,0.03285,4.70494,dependency
FB15k-237,structural_r2d3,83,/organization/organization/headquarters./location/mailing_address/citytown,55,0.23095,0.24994,0.01899,8.22116,dependency
FB15k-237,structural_r2d3,87,/location/country/second_level_divisions,46,0.66228,0.70050,0.03821,5.77017,dependency
FB15k-237,structural_r2d3,9,/music/performance_role/regular_performances./music/group_membership/role,40,0.10314,0.11432,0.01118,10.83662,dependency
FB15k-237,structural_r2d3,97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,16,0.58854,0.60923,0.02068,3.51449,dependency
KG20C,structural_none,1,author_write_paper,830,0.23051,0.24794,0.01743,7.55945,dependency
WN18RR,structural_none,6,_has_part,172,0.20914,0.21928,0.01013,4.84439,dependency
YAGO3-10,structural_r2d3,15,influences,47,0.12462,0.14336,0.01874,15.04126,dependency
YAGO3-10,structural_r2d3,3,diedIn,49,0.18235,0.19823,0.01588,8.71011,dependency
codex-l,structural_none,17,P161,1239,0.08128,0.08448,0.00320,3.94217,dependency
codex-l,structural_none,27,P113,20,0.40225,0.41679,0.01455,3.61636,dependency
codex-l,structural_none,35,P159,32,0.34518,0.35607,0.01089,3.15393,dependency
codex-l,structural_none,39,P135,51,0.28819,0.29703,0.00884,3.06807,dependency
codex-l,structural_none,43,P749,18,0.27503,0.29261,0.01758,6.39250,dependency
hetionet,structural_r2d3,14,DrD,62,0.22244,0.30250,0.08005,35.98828,dependency
hetionet,structural_r2d3,23,PCiC,64,0.49868,0.52263,0.02396,4.80387,dependency
hetionet,structural_r2d3,5,CrC,663,0.47406,0.49004,0.01598,3.37003,dependency
