dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,selected_stage1_gain_vs_baseline,stage2_gain_vs_selected_stage1,selected_stage,stage2_gain_pt
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,19,P30,18,0.65973,0.67916,0.71200,0.01942,0.03284,dependency,3.28403
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,3,/award/award_winner/awards_won./award/award_honor/award_winner,41,0.26534,0.24256,0.37804,-0.02278,0.13548,dependency,13.54773
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,35,/government/legislative_session/members./government/government_position_held/district_represented,117,0.86581,0.87382,0.90942,0.00801,0.03560,dependency,3.55956
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,65,/olympics/olympic_games/sports,13,0.26323,0.28773,0.41538,0.02450,0.12766,dependency,12.76557
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,70,/language/human_language/countries_spoken_in,25,0.30643,0.33693,0.38072,0.03050,0.04379,dependency,4.37927
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,87,/location/country/second_level_divisions,46,0.64685,0.64708,0.70536,0.00024,0.05828,dependency,5.82805
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,30,0.73453,0.74173,0.80616,0.00720,0.06443,dependency,6.44329
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,84,0.75434,0.74990,0.79345,-0.00444,0.04354,dependency,4.35449
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,124,/education/educational_institution/school_type,80,0.35135,0.35057,0.38475,-0.00079,0.03418,dependency,3.41826
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,147,/film/film/distributors./film/film_film_distributor_relationship/region,10,0.56497,0.57468,0.76833,0.00971,0.19365,dependency,19.36490
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,198,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,21,0.66070,0.66070,0.70358,0.00000,0.04288,dependency,4.28758
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,23,P530,315,0.76431,0.73541,0.77389,-0.02890,0.03848,dependency,3.84816
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,2,isAffiliatedTo,1673,0.73970,0.71005,0.74398,-0.02965,0.03394,dependency,3.39378
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,8,happenedIn,21,0.40591,0.37941,0.43195,-0.02650,0.05254,dependency,5.25380
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,12,participatedIn,19,0.33396,0.29849,0.33305,-0.03548,0.03457,dependency,3.45662
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,19,GpBP,55675,0.59828,0.59828,0.66774,0.00000,0.06946,dependency,6.94611
