dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,stage2_gain_vs_selected_stage1,selected_stage
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,1,author_write_paper,830,0.23051,0.23051,0.24755,0.01703,7.38970,0.01703,dependency
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,2,paper_cite_paper,599,0.18202,0.18437,0.19496,0.01293,7.10525,0.01059,dependency
KG20C,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,3,paper_in_domain,1446,0.11611,0.11611,0.12182,0.00571,4.92033,0.00571,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,3,P27,829,0.47748,0.47740,0.49468,0.01720,3.60200,0.01728,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,6,P840,85,0.16682,0.16990,0.17274,0.00592,3.55110,0.00284,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,12,P159,8,0.26181,0.30408,0.30408,0.04227,16.14414,0.00000,rule_only
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,19,P30,18,0.65973,0.67916,0.71200,0.05226,7.92151,0.03284,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,20,P102,133,0.43082,0.43448,0.44443,0.01361,3.15905,0.00995,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,23,P737,71,0.11339,0.10751,0.11691,0.00352,3.10745,0.00940,dependency
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,26,P641,11,0.63453,0.66863,0.65726,0.02273,3.58173,-0.01136,dependency
WN18RR,structural_rd,6,_has_part,172,0.20914,0.20516,0.21926,0.01012,4.83907,0.01410,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,3,/award/award_winner/awards_won./award/award_honor/award_winner,41,0.26534,0.24256,0.37804,0.11270,42.47328,0.13548,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,7,/award/award_category/nominees./award/award_nomination/nominated_for,858,0.20420,0.22330,0.23266,0.02846,13.93791,0.00937,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,214,0.27075,0.32346,0.33360,0.06284,23.21116,0.01014,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,9,/music/performance_role/regular_performances./music/group_membership/role,40,0.09913,0.10317,0.11431,0.01518,15.31659,0.01114,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,24,0.22923,0.24214,0.25953,0.03030,13.21666,0.01739,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1447,0.33451,0.37496,0.37496,0.04045,12.09228,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,14,/film/film/language,314,0.52324,0.53931,0.53931,0.01606,3.07019,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,16,/organization/organization/headquarters./location/mailing_address/country,7,0.44989,0.46166,0.47146,0.02157,4.79374,0.00980,dependency
