dataset,best_config,relation,relation_name,relation_gloss,relation_gloss_zh,mapping_type,mapping_direction,avg_tails_per_head,avg_heads_per_tail,train_triple_count_for_relation,test_triple_count,baseline_mrr,baseline_h1,final_mrr,final_h1,abs_mrr_gain,rel_mrr_gain_pct,num_relation_rules,num_relation_dependencies,dependency_per_rule,selected_stage,why_dependency_helps
FB15k-237,best_combination,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,military -> military_combatant -> military_conflicts. -> military -> military_combatant_group -> combatants,军事战斗方参与的军事冲突中的作战方/参战者,N-N,many-to-many,9.10976,8.58621,747,17,0.25477,0.02941,0.32488,0.05882,0.07011,27.51959,28658,80136,2.79629,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,147,/film/film/distributors./film/film_film_distributor_relationship/region,film -> film -> distributors. -> film -> film_film_distributor_relationship -> region,电影发行对应的地区,N-1,many-to-one,1.17164,7.47619,157,10,0.57264,0.5,0.65717,0.55,0.08452,14.76032,916,1814,1.98035,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,film -> film -> distributors. -> film -> film_film_distributor_relationship -> film_distribution_medium,电影发行对应的发行介质,N-1,many-to-one,1.4467,47.5,285,38,0.54608,0.35526,0.61232,0.48684,0.06624,12.13082,894,2178,2.43624,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,40,/sports/pro_athlete/teams./sports/sports_team_roster/team,sports -> pro_athlete -> teams. -> sports -> sports_team_roster -> team,职业运动员所属球队,N-N,many-to-many,6.03571,1.90423,676,16,0.16194,0.03125,0.18028,0.03125,0.01834,11.32512,1504,181,0.12035,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,70,/language/human_language/countries_spoken_in,language -> human_language -> countries_spoken_in,该语言使用/通行的国家,N-N,many-to-many,5.98214,1.87151,335,25,0.33496,0.2,0.35911,0.24,0.02415,7.2091,1883,7532,4.0,dependency,Dependency helps when multiple partially informative rules fire together and their joint pattern is more reliable than either rule alone.
FB15k-237,best_combination,58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,location -> location -> adjoin_s. -> location -> adjoining_relationship -> adjoins,地点相邻的地点,N-N,many-to-many,2.64987,2.68807,2051,55,0.40048,0.18182,0.42897,0.21818,0.0285,7.11557,5919,9103,1.53793,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,158,/tv/tv_network/programs./tv/tv_network_duration/program,tv -> tv_network -> programs. -> tv -> tv_network_duration -> program,电视网络播出的节目,1-N,one-to-many,5.75472,1.29237,305,26,0.18587,0.05769,0.19856,0.07692,0.01269,6.82793,369,564,1.52846,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,30,/award/award_winning_work/awards_won./award/award_honor/award,award -> award_winning_work -> awards_won. -> award -> award_honor -> award,获奖作品所获得的奖项,N-N,many-to-many,3.28048,14.08511,3310,118,0.19642,0.11017,0.20912,0.12712,0.0127,6.46671,19741,40669,2.06013,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,43,/people/person/gender,people -> person -> gender,人物性别,N-1,many-to-one,1.0,1858.5,3717,436,0.53436,0.48394,0.56825,0.53555,0.03389,6.34245,7376,3062,0.41513,dependency,This is close to an attribute-selection task; dependency helps enforce type compatibility and suppress conflicting candidates.
FB15k-237,best_combination,130,/sports/sports_position/players./sports/sports_team_roster/team,sports -> sports_position -> players. -> sports -> sports_team_roster -> team,某体育位置对应球员所在球队,N-N,many-to-many,68.62745,3.61197,3500,22,0.37122,0.25,0.39189,0.27273,0.02067,5.56679,19359,39691,2.05026,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
