dataset,relation,rr_source_stage1,rr_source_stage2,n_rows
FB15k-237,/award/award_category/category_of,true,true,35
FB15k-237,/award/award_category/disciplines_or_subjects,true,true,30
FB15k-237,/award/award_category/nominees./award/award_nomination/nominated_for,true,true,1716
FB15k-237,/award/award_category/winners./award/award_honor/award_winner,true,true,431
FB15k-237,/award/award_category/winners./award/award_honor/ceremony,true,true,646
FB15k-237,/award/award_ceremony/awards_presented./award/award_honor/award_winner,true,true,634
FB15k-237,/award/award_ceremony/awards_presented./award/award_honor/honored_for,true,true,241
FB15k-237,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,true,true,32
FB15k-237,/award/award_nominee/award_nominations./award/award_nomination/award,true,true,2134
FB15k-237,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,true,true,428
FB15k-237,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,true,true,264
FB15k-237,/award/award_winner/awards_won./award/award_honor/award_winner,true,true,82
FB15k-237,/award/award_winning_work/awards_won./award/award_honor/award,true,true,235
FB15k-237,/award/award_winning_work/awards_won./award/award_honor/award_winner,true,true,48
FB15k-237,/award/award_winning_work/awards_won./award/award_honor/honored_for,true,true,20
FB15k-237,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,true,true,53
FB15k-237,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,true,true,96
FB15k-237,/base/aareas/schema/administrative_area/administrative_area_type,true,true,40
FB15k-237,/base/aareas/schema/administrative_area/administrative_parent,true,true,50
FB15k-237,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,true,true,16
FB15k-237,/base/biblioness/bibs_location/country,true,true,28
FB15k-237,/base/biblioness/bibs_location/state,true,true,14
FB15k-237,/base/culturalevent/event/entity_involved,true,true,37
FB15k-237,/base/eating/practicer_of_diet/diet,true,true,22
FB15k-237,/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,true,true,6
FB15k-237,/base/locations/continents/countries_within,true,true,10
FB15k-237,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,true,true,82
FB15k-237,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,true,true,42
FB15k-237,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,true,true,2
FB15k-237,/base/popstra/celebrity/dated./base/popstra/dated/participant,true,true,22
FB15k-237,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,true,true,64
FB15k-237,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,true,true,62
FB15k-237,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,true,true,6
FB15k-237,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,true,true,40
FB15k-237,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,true,true,42
FB15k-237,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,true,true,76
FB15k-237,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,true,true,120
FB15k-237,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,true,true,58
FB15k-237,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,true,true,54
FB15k-237,/broadcast/content/artist,true,true,28
FB15k-237,/business/business_operation/industry,true,true,81
FB15k-237,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,true,true,2
FB15k-237,/business/job_title/people_with_this_title./business/employment_tenure/company,true,true,169
FB15k-237,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,true,true,2
FB15k-237,/common/topic/webpage./common/webpage/category,true,true,793
FB15k-237,/dataworld/gardening_hint/split_to,true,true,2
FB15k-237,/education/educational_degree/people_with_this_degree./education/education/institution,true,true,574
FB15k-237,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,true,true,126
FB15k-237,/education/educational_degree/people_with_this_degree./education/education/student,true,true,54
FB15k-237,/education/educational_institution/campuses,true,true,26
FB15k-237,/education/educational_institution/colors,true,true,180
FB15k-237,/education/educational_institution/school_type,true,true,160
FB15k-237,/education/educational_institution/students_graduates./education/education/major_field_of_study,true,true,642
FB15k-237,/education/educational_institution/students_graduates./education/education/student,true,true,622
FB15k-237,/education/educational_institution_campus/educational_institution,true,true,26
FB15k-237,/education/field_of_study/students_majoring./education/education/major_field_of_study,true,true,22
FB15k-237,/education/field_of_study/students_majoring./education/education/student,true,true,68
FB15k-237,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,true,true,10
FB15k-237,/education/university/fraternities_and_sororities,true,true,42
FB15k-237,/education/university/local_tuition./measurement_unit/dated_money_value/currency,true,true,2
FB15k-237,/film/actor/dubbing_performances./film/dubbing_performance/language,true,true,24
FB15k-237,/film/actor/film./film/performance/film,true,true,1672
FB15k-237,/film/actor/film./film/performance/special_performance_type,true,true,32
FB15k-237,/film/director/film,true,true,38
FB15k-237,/film/film/cinematography,true,true,34
FB15k-237,/film/film/costume_design_by,true,true,25
FB15k-237,/film/film/country,true,true,262
FB15k-237,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,true,true,76
FB15k-237,/film/film/distributors./film/film_film_distributor_relationship/region,true,true,20
FB15k-237,/film/film/dubbing_performances./film/dubbing_performance/actor,true,true,16
FB15k-237,/film/film/edited_by,true,true,25
FB15k-237,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,true,true,302
FB15k-237,/film/film/executive_produced_by,true,true,146
FB15k-237,/film/film/featured_film_locations,true,true,200
FB15k-237,/film/film/film_art_direction_by,true,true,6
FB15k-237,/film/film/film_festivals,true,true,35
FB15k-237,/film/film/film_format,true,true,78
FB15k-237,/film/film/film_production_design_by,true,true,20
FB15k-237,/film/film/genre,true,true,1444
FB15k-237,/film/film/language,true,true,628
FB15k-237,/film/film/music,true,true,184
FB15k-237,/film/film/other_crew./film/film_crew_gig/crewmember,true,true,52
FB15k-237,/film/film/other_crew./film/film_crew_gig/film_crew_role,true,true,1212
FB15k-237,/film/film/personal_appearances./film/personal_film_appearance/person,true,true,22
FB15k-237,/film/film/prequel,true,true,36
FB15k-237,/film/film/produced_by,true,true,120
FB15k-237,/film/film/production_companies,true,true,168
FB15k-237,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,true,true,36
FB15k-237,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,true,true,316
FB15k-237,/film/film/release_date_s./film/film_regional_release_date/film_release_region,true,true,2894
FB15k-237,/film/film/runtime./film/film_cut/film_release_region,true,true,18
FB15k-237,/film/film/story_by,true,true,61
FB15k-237,/film/film/written_by,true,true,52
FB15k-237,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,true,true,320
FB15k-237,/film/film_set_designer/film_sets_designed,true,true,16
FB15k-237,/film/film_subject/films,true,true,142
FB15k-237,/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,true,true,6
FB15k-237,/film/special_film_performance_type/film_performance_type./film/performance/film,true,true,22
FB15k-237,/food/food/nutrients./food/nutrition_fact/nutrient,true,true,210
FB15k-237,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,true,true,182
FB15k-237,/government/governmental_body/members./government/government_position_held/legislative_sessions,true,true,24
FB15k-237,/government/legislative_session/members./government/government_position_held/district_represented,true,true,234
FB15k-237,/government/legislative_session/members./government/government_position_held/legislative_sessions,true,true,26
FB15k-237,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,true,true,21
FB15k-237,/government/politician/government_positions_held./government/government_position_held/basic_title,true,true,32
FB15k-237,/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,true,true,18
FB15k-237,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,true,true,60
FB15k-237,/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,true,true,8
FB15k-237,/influence/influence_node/influenced_by,true,true,470
FB15k-237,/influence/influence_node/peers./influence/peer_relationship/peers,true,true,2
FB15k-237,/language/human_language/countries_spoken_in,true,true,50
FB15k-237,/location/administrative_division/country,true,true,6
FB15k-237,/location/country/capital,true,true,19
FB15k-237,/location/country/form_of_government,true,true,86
FB15k-237,/location/country/official_language,true,true,32
FB15k-237,/location/country/second_level_divisions,true,true,92
FB15k-237,/location/hud_county_place/county,true,true,14
FB15k-237,/location/hud_county_place/place,true,true,96
FB15k-237,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,true,true,168
FB15k-237,/location/location/adjoin_s./location/adjoining_relationship/adjoins,true,true,110
FB15k-237,/location/location/contains,true,true,658
FB15k-237,/location/location/partially_contains,true,true,26
FB15k-237,/location/location/time_zones,true,true,274
FB15k-237,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,true,true,8
FB15k-237,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,true,true,6
FB15k-237,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,true,true,26
FB15k-237,/location/statistical_region/religions./location/religion_percentage/religion,true,true,120
FB15k-237,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,true,true,92
FB15k-237,/location/us_county/county_seat,true,true,4
FB15k-237,/media_common/netflix_genre/titles,true,true,248
FB15k-237,/medicine/disease/notable_people_with_this_condition,true,true,30
FB15k-237,/medicine/disease/risk_factors,true,true,26
FB15k-237,/medicine/symptom/symptom_of,true,true,62
FB15k-237,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,true,true,34
FB15k-237,/military/military_conflict/combatants./military/military_combatant_group/combatants,true,true,68
FB15k-237,/music/artist/contribution./music/recording_contribution/performance_role,true,true,28
