dataset,best_config,relation,relation_name,relation_gloss_zh,mapping_direction,direction,query_text,query_entity,fixed_entity,gold_entity,stage1_top1,final_top1,stage1_rank,final_rank,rank_gain,candidate_count,active_rule_count,baseline_mrr_relation,final_mrr_relation
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(80F461D0, author_write_paper, ?)",80F461D0,,805CD994,7EF36E06,805CD994,12.0,1.0,11.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(7E2B669B, author_write_paper, ?)",7E2B669B,,7E533F1A,5B876262,7E533F1A,10.0,1.0,9.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(782C7C4D, author_write_paper, ?)",782C7C4D,,0C1A4B01,7E9AB16C,0C1A4B01,9.0,1.0,8.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 80F19E22)",,80F19E22,07C6C8C9,7E56C8FC,07C6C8C9,8.0,1.0,7.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7D4A568F)",,7D4A568F,7BD609A4,7F05BE3D,7BD609A4,7.0,1.0,6.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7E533F1A)",,7E533F1A,7E2B669B,11BA75DA,7E2B669B,7.0,1.0,6.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(76851904, author_write_paper, ?)",76851904,,7F0B0193,778850EB,7F0B0193,6.0,1.0,5.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(793344FC, author_write_paper, ?)",793344FC,,814FDEF1,7F814FE1,814FDEF1,6.0,1.0,5.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(84A1E9D6, author_write_paper, ?)",84A1E9D6,,7CFE8B0C,7D94E3AC,7CFE8B0C,6.0,1.0,5.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 5E05C4FB)",,5E05C4FB,7F1321A7,816FC463,7F1321A7,6.0,1.0,5.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 5E40259A)",,5E40259A,7F08F36E,85314534,7F08F36E,6.0,1.0,5.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7C504F77)",,7C504F77,7AF6D7D6,7FA4B495,7AF6D7D6,6.0,1.0,5.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(06A148EF, author_write_paper, ?)",06A148EF,,7ADBD2EC,5B5AF9A6,7ADBD2EC,5.0,1.0,4.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(7DF487FE, author_write_paper, ?)",7DF487FE,,816FBD21,7F9E680E,816FBD21,5.0,1.0,4.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 76523D61)",,76523D61,6D67F1BA,7E5F6B93,6D67F1BA,5.0,1.0,4.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7CEEEC7D)",,7CEEEC7D,802132F1,7ECB6B4A,802132F1,5.0,1.0,4.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7F495E20)",,7F495E20,80C91A39,80CAE529,80C91A39,5.0,1.0,4.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7FF47AF9)",,7FF47AF9,7E5744A2,758EC809,7E5744A2,5.0,1.0,4.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 80DAA99F)",,80DAA99F,7A146798,5B4392E8,7A146798,5.0,1.0,4.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(7D47571C, author_write_paper, ?)",7D47571C,,5BCFAD95,80500CF5,5BCFAD95,4.0,1.0,3.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 8023D149)",,8023D149,80197C8B,80CAE529,80197C8B,4.0,1.0,3.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(13A30FFA, author_write_paper, ?)",13A30FFA,,7DEAFE65,7FFCFED7,7DEAFE65,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(775B7B1E, author_write_paper, ?)",775B7B1E,,7E094AEF,7B8A28D1,7E094AEF,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(80575B6C, author_write_paper, ?)",80575B6C,,7E995AE4,626274C5,7E995AE4,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 63041629)",,63041629,82EBCD30,10C6FD09,82EBCD30,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7B50FC31)",,7B50FC31,80509AFE,7EE1FB1B,80509AFE,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7CFD178A)",,7CFD178A,7EEF16EA,801A28FB,7EEF16EA,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7D17A093)",,7D17A093,7D413665,801A28FB,7D413665,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7EDF0F0C)",,7EDF0F0C,7D6FF632,7686F4FC,7D6FF632,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 8090D20E)",,8090D20E,26C729FA,816FC463,26C729FA,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 80DA0410)",,80DA0410,7657F30F,7F85015B,7657F30F,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 836EB792)",,836EB792,7D4C3F27,7FF0970C,7D4C3F27,3.0,1.0,2.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(051B5D58, author_write_paper, ?)",051B5D58,,7F10CE41,7F10CE41,7F10CE41,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(059216FE, author_write_paper, ?)",059216FE,,7F46E38D,7DD09999,7F46E38D,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(11DC9F27, author_write_paper, ?)",11DC9F27,,7F301E21,7DB65A75,7F301E21,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(77F7EB40, author_write_paper, ?)",77F7EB40,,7F21521F,7D82EEC5,7F21521F,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(7D49F3BF, author_write_paper, ?)",7D49F3BF,,80D3E7D2,7D567B33,80D3E7D2,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(7D881A87, author_write_paper, ?)",7D881A87,,80D3E7D2,7D567B33,80D3E7D2,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(7F735FC4, author_write_paper, ?)",7F735FC4,,80DE9FE6,7BC1A0BE,80DE9FE6,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(804D8D57, author_write_paper, ?)",804D8D57,,7DE8F8C1,7E90F00A,7DE8F8C1,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(815025AA, author_write_paper, ?)",815025AA,,7EBC514E,7B20680E,7EBC514E,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,tail,"(85B335E6, author_write_paper, ?)",85B335E6,,8041BB5A,81279845,8041BB5A,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 5C1E0ABD)",,5C1E0ABD,7AD55B4F,023F769E,7AD55B4F,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 60851C99)",,60851C99,6C239C48,8032D24C,6C239C48,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7D376FD4)",,7D376FD4,012133D7,0FFC7898,012133D7,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7DA395C1)",,7DA395C1,7BBC933B,09ADC0BB,7BBC933B,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7E42F9C8)",,7E42F9C8,816FC463,812FF69E,816FC463,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 7FCAC47C)",,7FCAC47C,75D12588,0A716934,75D12588,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 80125F9F)",,80125F9F,80DAD05B,8098E2A6,80DAD05B,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 8041BB5A)",,8041BB5A,85B335E6,7DEEEE63,85B335E6,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 805270FD)",,805270FD,809F6DBC,7F064339,809F6DBC,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 80D43CF8)",,80D43CF8,8026929D,276D256C,8026929D,2.0,1.0,1.0,100,100,0.23051,0.24791
KG20C,init_dep_with_lift,1,author_write_paper,作者撰写论文,many-to-many,head,"(?, author_write_paper, 81195CA4)",,81195CA4,7E4DA2B1,7EE1FB1B,7E4DA2B1,2.0,1.0,1.0,100,100,0.23051,0.24791
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,tail,"(09195615, _has_part, ?)",09195615,,09372504,08732116,09372504,9.0,1.0,8.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,tail,"(03158885, _has_part, ?)",03158885,,03474896,03485997,03474896,5.0,1.0,4.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,tail,"(00832626, _has_part, ?)",00832626,,00659349,00831191,00659349,3.0,1.0,2.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,head,"(?, _has_part, 08926543)",,08926543,08920924,08853741,08920924,3.0,1.0,2.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,head,"(?, _has_part, 09103943)",,09103943,09051235,09372504,09051235,3.0,1.0,2.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,head,"(?, _has_part, 08769439)",,08769439,08766988,08853741,08766988,2.0,1.0,1.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,head,"(?, _has_part, 08772137)",,08772137,08766988,08853741,08766988,2.0,1.0,1.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,head,"(?, _has_part, 08772307)",,08772307,08766988,08853741,08766988,2.0,1.0,1.0,100,100,0.20516,0.21926
WN18RR,structural_rd,6,_has_part,具有组成部分,one-to-many,head,"(?, _has_part, 08772667)",,08772667,08766988,08853741,08766988,2.0,1.0,1.0,100,100,0.20516,0.21926
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 12641007)",,12641007,12637729,12650556,12637729,14.0,1.0,13.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,tail,"(02225959, _member_meronym, ?)",02225959,,02227773,01762525,02227773,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 01440344)",,01440344,01438720,02565728,01438720,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 01816635)",,01816635,01502262,01471070,01502262,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 01876843)",,01876843,01874126,01471070,01874126,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 01955463)",,01955463,01940488,01313093,01940488,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 02140970)",,02140970,02138921,01471070,02138921,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 02227773)",,02227773,02225959,01313093,02225959,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 11536778)",,11536778,11529603,12994979,11529603,2.0,1.0,1.0,100,100,0.31793,0.32862
WN18RR,structural_rd,4,_member_meronym,成员-整体关系,one-to-many,head,"(?, _member_meronym, 11850748)",,11850748,11841529,11804604,11841529,2.0,1.0,1.0,100,100,0.31793,0.32862
YAGO3-10,structural_dep_scale,3,diedIn,逝世于,many-to-one,tail,"(William_V._Roth,_Jr., diedIn, ?)","William_V._Roth,_Jr.",,"Washington,_D.C.","Wilmington,_Delaware","Washington,_D.C.",4.0,1.0,3.0,100,100,0.18,0.20078
YAGO3-10,structural_dep_scale,3,diedIn,逝世于,many-to-one,tail,"(Alastair_Sim, diedIn, ?)",Alastair_Sim,,London,Los_Angeles,London,2.0,1.0,1.0,100,100,0.18,0.20078
YAGO3-10,structural_dep_scale,12,participatedIn,参与于,many-to-many,tail,"(Belgium, participatedIn, ?)",Belgium,,Battle_of_France,Operation_Enduring_Freedom,Battle_of_France,4.0,1.0,3.0,100,100,0.33396,0.36673
YAGO3-10,structural_dep_scale,12,participatedIn,参与于,many-to-many,tail,"(Republic_of_Genoa, participatedIn, ?)",Republic_of_Genoa,,Battle_of_Crécy,Fourth_Crusade,Battle_of_Crécy,3.0,1.0,2.0,100,100,0.33396,0.36673
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,head,"(?, isLocatedIn, Transylvania)",,Transylvania,Ținutul_Crișuri,Arad_(Romania),Ținutul_Crișuri,13.0,1.0,12.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Alghero, isLocatedIn, ?)",Alghero,,Sardinia,Emilia-Romagna,Sardinia,7.0,1.0,6.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Edmonton_Eskimos, isLocatedIn, ?)",Edmonton_Eskimos,,Edmonton,Ontario,Edmonton,6.0,1.0,5.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Jasper_County,_Missouri, isLocatedIn, ?)","Jasper_County,_Missouri",,Missouri,"Joplin,_Missouri",Missouri,4.0,1.0,3.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Bełchatów_County, isLocatedIn, ?)",Bełchatów_County,,Łódź_Voivodeship,Gmina_Bełchatów,Łódź_Voivodeship,3.0,1.0,2.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Hørsholm_Municipality, isLocatedIn, ?)",Hørsholm_Municipality,,Capital_Region_of_Denmark,Hørsholm,Capital_Region_of_Denmark,3.0,1.0,2.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Old_Shatterhand_(film), isLocatedIn, ?)",Old_Shatterhand_(film),,France,United_Kingdom,France,3.0,1.0,2.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Ruston,_Louisiana, isLocatedIn, ?)","Ruston,_Louisiana",,Louisiana,Louisiana_Tech_University,Louisiana,3.0,1.0,2.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Ținutul_Crișuri, isLocatedIn, ?)",Ținutul_Crișuri,,Transylvania,Romania,Transylvania,3.0,1.0,2.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,head,"(?, isLocatedIn, South_Governorate)",,South_Governorate,Tyre,Lebanon,Tyre,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,head,"(?, isLocatedIn, Södermanland)",,Södermanland,Strängnäs_Municipality,Närke,Strängnäs_Municipality,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Deep_End_(film), isLocatedIn, ?)",Deep_End_(film),,United_Kingdom,United_States,United_Kingdom,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Haveri_district, isLocatedIn, ?)",Haveri_district,,Karnataka,Haveri,Karnataka,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Morgan_County,_Tennessee, isLocatedIn, ?)","Morgan_County,_Tennessee",,Tennessee,"Harriman,_Tennessee",Tennessee,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Plzeň-South_District, isLocatedIn, ?)",Plzeň-South_District,,Pilsen,Ústí_nad_Labem_Region,Pilsen,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Queenstown-Lakes_District, isLocatedIn, ?)",Queenstown-Lakes_District,,Otago,"Queenstown,_New_Zealand",Otago,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Turbo,_Colombia, isLocatedIn, ?)","Turbo,_Colombia",,Colombia,United_States,Colombia,2.0,1.0,1.0,100,100,0.38799,0.40666
YAGO3-10,structural_dep_scale,0,isLocatedIn,位于,many-to-many,tail,"(Whitman_College, isLocatedIn, ?)",Whitman_College,,Washington_(state),Seattle,Washington_(state),2.0,1.0,1.0,100,100,0.38799,0.40666
codex-l,structural_dep_scale,43,P749,上级组织/母组织,many-to-one,head,"(?, P749, Q51747)",,Q51747,Q664721,Q664721,Q664721,1.5,1.0,0.5,100,100,0.27503,0.29319
codex-l,structural_dep_scale,43,P749,上级组织/母组织,many-to-one,tail,"(Q664721, P749, ?)",Q664721,,Q51747,Q51747,Q51747,1.5,1.0,0.5,100,100,0.27503,0.29319
codex-l,structural_dep_scale,17,P161,演员/出演成员,many-to-many,head,"(?, P161, Q109232)",,Q109232,Q104123,Q39970,Q104123,2.5,1.0,1.5,100,100,0.08128,0.08433
codex-l,structural_dep_scale,17,P161,演员/出演成员,many-to-many,head,"(?, P161, Q400825)",,Q400825,Q1988877,Q244999,Q1988877,2.0,1.0,1.0,67,67,0.08128,0.08433
codex-l,structural_dep_scale,17,P161,演员/出演成员,many-to-many,head,"(?, P161, Q51562)",,Q51562,Q151596,Q256416,Q151596,2.0,1.0,1.0,100,100,0.08128,0.08433
codex-l,structural_dep_scale,17,P161,演员/出演成员,many-to-many,head,"(?, P161, Q7374)",,Q7374,Q204212,Q204212,Q204212,2.0,1.0,1.0,100,100,0.08128,0.08433
codex-l,structural_dep_scale,17,P161,演员/出演成员,many-to-many,tail,"(Q189600, P161, ?)",Q189600,,Q574190,Q704314,Q574190,2.0,1.0,1.0,100,100,0.08128,0.08433
codex-l,structural_dep_scale,17,P161,演员/出演成员,many-to-many,tail,"(Q1352415, P161, ?)",Q1352415,,Q237594,Q237594,Q237594,1.5,1.0,0.5,100,100,0.08128,0.08433
codex-l,structural_dep_scale,17,P161,演员/出演成员,many-to-many,tail,"(Q207536, P161, ?)",Q207536,,Q193048,Q115932,Q193048,1.5,1.0,0.5,100,100,0.08128,0.08433
hetionet,best_combination,14,DrD,疾病与疾病相似,many-to-many,tail,"(Disease::DOID:11615, DrD, ?)",Disease::DOID:11615,,Disease::DOID:11054,Disease::DOID:4045,Disease::DOID:11054,5.0,1.0,4.0,100,100,0.26286,0.30949
hetionet,best_combination,14,DrD,疾病与疾病相似,many-to-many,head,"(?, DrD, Disease::DOID:1245)",,Disease::DOID:1245,Disease::DOID:1964,Disease::DOID:11239,Disease::DOID:1964,3.0,1.0,2.0,100,100,0.26286,0.30949
